Symbol,Stock Price,Market Cap,Company Name,Analysts,PT Upside (%),Rev. Growth,Rev. Growth 5Y,Rev. Growth 3Y,Rev Gr. Next Y,Z-Score,ROA,ROA (5Y),ROIC,ROIC (5Y),Oper. Margin
NUE,136.32,32430023430,Nucor Corporation,8,19.62%,-12.23%,5.72%,-0.02%,8.80%,4.26,7.30%,15.48%,9.85%,20.29%,11.14%
HSY,157.9,32024703566,The Hershey Company,22,7.25%,-1.69%,6.77%,7.51%,2.84%,4.25,14.40%,15.06%,21.86%,22.92%,22.09%
WTW,319.84,31971122250,Willis Towers Watson Public Limited Company,11,4.17%,5.58%,2.38%,3.06%,5.92%,1.31,-2.50%,4.72%,,6.66%,5.15%
HIG,110.83,32305453040,"The Hartford Financial Services Group, Inc.",17,11.45%,7.92%,5.42%,5.96%,5.28%,,3.80%,2.86%,14.93%,11.09%,15.06%
HEI,228.27,28409102503,HEICO Corporation,11,18.30%,29.97%,13.42%,27.40%,7.17%,6.46,6.90%,8.26%,11.42%,11.88%,21.37%
XYL,130.22,32078457800,Xylem Inc.,11,14.98%,24.76%,9.86%,17.11%,5.34%,4.66,5.20%,4.44%,6.82%,7.46%,11.31%
VICI,29.8,31625100000,VICI Properties Inc.,11,14.30%,10.29%,33.92%,36.40%,2.81%,,6.30%,4.98%,8.54%,6.63%,96.10%
IOT,55.95,31000597517,Samsara Inc.,14,-8.77%,39.11%,,46.05%,23.32%,20.74,-14.30%,,-27.15%,23.23%,-24.98%
HUM,260.49,30986566740,Humana Inc.,23,14.01%,12.37%,12.88%,12.36%,2.01%,4.20,2.80%,7.26%,6.33%,12.48%,2.40%
BRO,109.13,31097932500,"Brown & Brown, Inc.",12,2.22%,12.48%,14.89%,16.30%,8.14%,2.79,6.70%,5.76%,11.68%,9.46%,33.61%
EQT,52.225,32027013700,EQT Corporation,18,-2.24%,-31.80%,4.12%,128.42%,37.30%,1.23,1.10%,-0.34%,1.68%,-0.09%,11.01%
EFX,250.93,31359856000,Equifax Inc.,17,20.48%,8.79%,10.21%,5.28%,12.05%,3.94,4.60%,3.74%,7.10%,5.29%,17.88%
AVB,218.46,31138524040,"AvalonBay Communities, Inc.",15,7.57%,5.31%,4.50%,8.56%,5.37%,,5.00%,4.78%,4.37%,3.88%,31.09%
CAH,127.8,31014915520,"Cardinal Health, Inc.",14,6.51%,2.85%,8.22%,9.06%,8.30%,5.25,2.90%,-1.44%,29.93%,3.89%,0.85%
HPQ,32.865,30778530360,HP Inc.,11,10.07%,-0.30%,-1.84%,-5.50%,2.93%,1.77,7.30%,10.16%,38.71%,56.11%,7.13%
TPL,1330.4841,31340520588,Texas Pacific Land Corporation,1,-31.28%,11.18%,7.86%,22.01%,33.33%,156.62,36.60%,45.48%,39.48%,46.38%,77.25%
KEYS,176.66,29976886590,"Keysight Technologies, Inc.",10,2.26%,-8.88%,2.96%,0.26%,6.86%,6.50,6.70%,10.76%,8.29%,14.28%,16.73%
QSR,67.575,21652761230,Restaurant Brands International Inc.,22,19.57%,15.08%,7.56%,12.62%,10.03%,1.29,5.30%,3.66%,13.27%,10.93%,27.19%
WPM,68.28,30568149840,Wheaton Precious Metals Corp.,8,13.17%,29.72%,7.84%,0.22%,24.71%,146.62,8.50%,8.02%,8.06%,7.60%,53.99%
CSGP,73.825,29927007000,"CoStar Group, Inc.",13,24.88%,11.66%,14.75%,12.33%,12.88%,,1.90%,5.06%,0.27%,4.66%,1.28%
IRM,103.02,31168386600,Iron Mountain Incorporated,6,25.97%,12.15%,7.13%,10.89%,9.87%,1.10,0.60%,2.46%,4.13%,5.92%,15.99%
LVS,42.16,30211833420,Las Vegas Sands Corp.,14,40.76%,8.93%,-1.41%,38.70%,5.62%,2.11,6.90%,1.58%,12.62%,1.32%,21.26%
TKO,175.4025,14210966016,"TKO Group Holdings, Inc.",14,-16.50%,108.30%,,,15.42%,2.35,-0.30%,,-11.49%,,8.90%
ABEV,1.84,29097204144,Ambev S.A.,2,8.10%,0.04%,55.81%,43.25%,5.79%,3.33,10.70%,10.54%,22.96%,21.26%,20.17%
GOLD,18.3157,31744588000,Barrick Gold Corporation,9,22.66%,11.02%,,1.05%,15.47%,1.72,3.50%,4.98%,7.10%,7.47%,26.54%
TW,126.135,29757531888,Tradeweb Markets Inc.,14,8.76%,28.97%,17.35%,17.04%,11.31%,,6.80%,4.86%,8.49%,6.39%,39.28%
WDS,15.47,29441338384,Woodside Energy Group Ltd,1,,-31.65%,,,-1.11%,1.36,3.30%,,4.65%,,22.87%
CHT,38.555,29866182500,"Chunghwa Telecom Co., Ltd.",,,2.58%,1.74%,2.55%,1.78%,5.96,7.00%,6.94%,9.19%,8.59%,19.64%
FCNCA,2145.12,27685643832,"First Citizens BancShares, Inc.",10,11.73%,-43.28%,41.03%,68.50%,2.52%,,1.20%,1.90%,4.23%,10.24%,38.46%
TSCO,55.06,29300595750,Tractor Supply Company,21,6.36%,-0.89%,12.23%,6.32%,6.83%,5.48,11.60%,12.14%,15.10%,15.67%,10.04%
CQP,60.7,30127085778,"Cheniere Energy Partners, L.P.",4,-15.63%,-23.67%,5.52%,3.00%,21.31%,,15.80%,11.22%,23.83%,18.79%,39.97%
ANSS,335.18,29248493554,"ANSYS, Inc.",4,3.34%,14.30%,11.30%,9.59%,9.46%,11.78,7.70%,8.78%,8.66%,9.21%,28.18%
STZ,161.9,29328421500,"Constellation Brands, Inc.",19,54.52%,3.70%,4.33%,5.51%,4.11%,2.63,2.80%,,5.78%,5.01%,11.14%
FCNCO,22.4,30907885147,"First Citizens BancShares, Inc.",,,-31.05%,42.81%,70.17%,2.52%,,1.20%,1.90%,4.43%,10.24%,38.14%
GDDY,207.73,28957047660,GoDaddy Inc.,16,-6.85%,6.85%,9.07%,6.88%,7.35%,2.61,23.70%,4.46%,71.32%,29.46%,25.01%
FITB,43.38,29503892000,Fifth Third Bancorp,17,8.31%,-1.93%,1.95%,-0.61%,5.36%,,1.00%,1.10%,5.63%,6.21%,34.73%
FMX,87.995,18100493180,"Fomento Económico Mexicano, S.A.B. de C.V.",3,22.97%,17.70%,,51.64%,9.84%,2.75,8.20%,3.68%,8.46%,5.70%,6.87%
IP,55.025,28648454760,International Paper Company,9,-4.53%,-4.15%,-3.97%,4.15%,4.73%,2.73,1.80%,3.68%,26.32%,5.84%,1.23%
MCHP,53.34,28278523020,Microchip Technology Incorporated,20,44.25%,-44.31%,-2.06%,-9.62%,14.48%,2.89,2.00%,7.74%,3.86%,14.04%,13.67%
HEI.A,183.82,28438970368,HEICO Corporation,11,47.00%,41.13%,12.78%,27.42%,7.17%,6.35,6.50%,9.14%,10.06%,12.91%,20.74%
K,82.295,28334175600,Kellanova,13,-9.28%,-3.64%,-4.76%,-9.02%,2.53%,3.14,6.50%,6.16%,11.88%,10.60%,13.22%
CNC,57.03,28721769850,Centene Corporation,14,41.79%,7.75%,17.46%,9.94%,2.27%,2.77,3.70%,2.58%,4.85%,3.91%,1.74%
CVE,15.11,28312792662,Cenovus Energy Inc.,4,97.76%,4.77%,22.86%,15.23%,-6.59%,,6.80%,3.84%,10.04%,5.85%,8.80%
STT,97.69,28475215260,State Street Corporation,14,3.55%,4.76%,1.49%,2.03%,3.33%,,0.60%,0.76%,3.63%,5.51%,21.53%
BR,241.05,28268279830,"Broadridge Financial Solutions, Inc.",7,-0.86%,5.73%,8.95%,7.54%,5.19%,4.72,9.30%,8.50%,14.75%,12.75%,16.30%
EQR,71.4,27106407760,Equity Residential,19,7.71%,3.33%,1.96%,6.53%,4.19%,,4.60%,4.68%,4.58%,4.16%,30.47%
HPE,21.185,27615353350,Hewlett Packard Enterprise Company,14,13.07%,3.40%,0.67%,2.74%,4.57%,1.01,4.10%,2.96%,5.45%,5.17%,8.91%
DOV,200.61,27800586880,Dover Corporation,12,8.38%,1.02%,3.12%,2.79%,4.37%,,13.40%,9.28%,12.80%,13.70%,16.99%
FNV,142.86,27328231210,Franco-Nevada Corporation,9,0.97%,-11.34%,8.34%,-4.97%,22.02%,52.74,-9.90%,5.78%,-7.99%,5.65%,-43.65%
GPN,107.685,27251324600,Global Payments Inc.,24,25.90%,5.81%,21.38%,6.67%,2.87%,1.07,2.70%,1.42%,3.88%,2.25%,17.50%
LPLA,366.65,27369991392,LPL Financial Holdings Inc.,14,1.27%,18.21%,15.95%,16.91%,12.60%,,9.00%,8.98%,16.49%,17.10%,13.82%
FTV,79.66,27818370820,Fortive Corporation,13,9.91%,3.06%,6.97%,5.98%,5.62%,3.67,5.10%,5.42%,7.28%,5.20%,18.52%
DOW,38.555,27189030160,Dow Inc.,15,25.25%,-3.72%,0.01%,-7.88%,4.39%,1.94,1.90%,4.52%,4.67%,8.94%,5.16%
MTD,1294.45,27860150505,Mettler-Toledo International Inc.,8,5.72%,2.22%,5.18%,1.37%,5.43%,10.92,26.40%,24.32%,48.83%,43.83%,28.59%
GIB,121.035,27130239507,CGI Inc.,4,26.50%,2.83%,4.17%,7.01%,4.29%,4.81,10.50%,9.50%,13.29%,12.84%,16.15%
BNTX,112.52,27450201604,BioNTech SE,16,29.11%,-54.07%,83.94%,-39.59%,-2.92%,6.97,-2.10%,23.72%,-4.77%,17.64%,-28.77%
PINS,39.26,26811130872,"Pinterest, Inc.",29,10.85%,19.35%,26.12%,12.25%,15.08%,28.60,45.80%,9.42%,23.75%,4.17%,4.93%
PPG,114.792,26659120000,"PPG Industries, Inc.",15,20.23%,-0.28%,3.58%,3.27%,3.24%,3.91,6.80%,6.00%,10.82%,9.82%,12.15%
LI,26.485,26915969432,Li Auto Inc.,5,36.42%,42.25%,,90.48%,30.59%,,6.90%,-7.96%,8.41%,9.54%,4.36%
SW,50.95,27901173204,Smurfit Westrock Plc,9,20.95%,,,,16.76%,,,,,,
TYL,611.915,25978750200,"Tyler Technologies, Inc.",13,5.32%,8.04%,14.85%,12.94%,10.33%,10.22,5.00%,5.20%,6.03%,6.68%,13.26%
AEE,97.995,26206991040,Ameren Corporation,11,-8.70%,-7.92%,3.96%,5.73%,6.08%,0.93,2.70%,2.90%,4.54%,5.21%,21.67%
EXPE,202.95,24320231460,"Expedia Group, Inc.",30,-8.12%,6.64%,2.56%,16.77%,7.02%,1.46,5.10%,-0.90%,12.97%,1.01%,9.63%
CHD,106.38,25695390240,"Church & Dwight Co., Inc.",17,4.82%,4.80%,7.14%,5.76%,3.76%,5.56,6.40%,9.06%,9.42%,13.19%,12.66%
PHG,28.08,26117902373,Koninklijke Philips N.V.,4,,1.92%,,,4.49%,,-1.60%,2.64%,-0.58%,1.37%,-0.59%
NOK,4.985,26355295860,Nokia Oyj,3,32.80%,-10.65%,-5.50%,11.71%,2.52%,1.83,1.60%,,2.84%,2.23%,7.08%
ERIC,7.81,25469687866,Telefonaktiebolaget LM Ericsson (publ),1,-14.27%,-3.02%,,5.09%,2.54%,1.92,-8.20%,2.52%,-13.37%,6.32%,-7.19%
CPAY,369.28,25514226000,"Corpay, Inc.",13,8.94%,4.68%,8.38%,13.54%,11.59%,2.33,6.20%,6.70%,12.05%,11.24%,44.28%
DTE,124.01,25864843890,DTE Energy Company,13,7.01%,-10.21%,-1.32%,-2.51%,2.80%,0.93,3.30%,2.80%,6.03%,5.56%,17.66%
ZM,83.33,25690406793,Zoom Communications Inc.,25,6.06%,2.87%,53.66%,5.77%,3.17%,9.72,9.10%,10.22%,6.71%,9.43%,16.35%
NTR,49.75,25535106000,Nutrien Ltd.,15,17.79%,-14.12%,5.36%,2.73%,3.15%,1.56,1.40%,5.22%,2.74%,8.94%,5.52%
VTR,60.075,24990270270,"Ventas, Inc.",9,5.93%,9.50%,4.79%,8.81%,8.72%,,-0.30%,0.68%,,2.49%,10.10%
PPL,34.37,25474724400,PPL Corporation,11,-1.08%,-3.37%,1.33%,13.47%,-0.54%,1.04,2.10%,1.42%,4.60%,4.46%,21.17%
CDW,189.685,25310831520,CDW Corporation,10,25.81%,-4.43%,3.46%,0.96%,6.14%,3.15,8.10%,8.98%,14.89%,16.86%,8.05%
WSM,203.63,24900668000,"Williams-Sonoma, Inc.",21,-17.37%,-5.00%,5.03%,-2.16%,0.24%,7.86,21.20%,19.06%,32.66%,26.98%,18.50%
FWONK,100.6237,24682366976,Formula One Group,4,1.72%,5.27%,1.33%,-1.85%,10.28%,4.98,-4.60%,0.78%,,4.05%,16.51%
IBKR,229.82,24113432130,"Interactive Brokers Group, Inc.",8,-11.37%,18.19%,20.68%,22.13%,7.25%,,0.50%,0.30%,11.42%,10.34%,70.31%
BEKE,20.875,21712066156,KE Holdings Inc.,4,24.53%,11.06%,,-1.22%,9.71%,2.89,3.40%,-0.90%,2.44%,-6.28%,3.05%
SYF,63.895,25358097270,Synchrony Financial,23,1.41%,22.58%,0.56%,-0.26%,7.81%,,2.90%,2.76%,10.87%,9.84%,48.48%
FOXA,54.73,23567591513,Fox Corporation,18,-7.26%,4.29%,5.33%,3.76%,-3.42%,2.86,9.80%,6.36%,11.13%,8.91%,18.70%
VLTO,100.29,24743142389,Veralto Corporation,11,12.14%,3.11%,,,6.09%,5.32,13.70%,,19.51%,,23.09%
EL,68.66,25118929175,The Estée Lauder Companies Inc.,20,18.61%,-21.92%,-0.87%,-5.05%,3.48%,2.68,-3.30%,7.16%,-2.97%,9.66%,-2.66%
FWONA,92.84,31550196935,Formula One Group,2,-17.44%,5.27%,1.33%,-1.85%,10.28%,5.69,-4.60%,0.78%,,4.05%,16.51%
LYB,75.985,24610085460,LyondellBasell Industries N.V.,13,17.35%,-1.57%,2.83%,-0.44%,-19.19%,2.61,5.80%,9.40%,8.61%,14.19%,6.85%
RKT,12.275,25532348544,"Rocket Companies, Inc.",13,13.43%,12.24%,,-35.50%,31.76%,,-0.10%,,-0.70%,,-2.39%
MKL,1903.55,24884096100,Markel Group Inc.,6,-10.64%,13.34%,16.88%,11.87%,4.69%,,5.00%,3.06%,15.49%,8.95%,24.39%
TEF,4.335,24241435141,"Telefónica, S.A.",,,1.65%,6.93%,-13.51%,-0.31%,,-0.80%,2.20%,,1.72%,2.42%
AWK,125.04,24274047700,"American Water Works Company, Inc.",9,11.52%,9.24%,4.88%,4.98%,5.86%,1.10,3.20%,3.40%,5.02%,5.16%,43.03%
ROL,49.935,24186191700,"Rollins, Inc.",6,3.14%,11.07%,11.12%,11.94%,8.30%,11.93,17.30%,16.08%,22.25%,21.15%,19.50%
HBAN,16.635,24494376600,Huntington Bancshares Incorporated,19,8.79%,-7.19%,8.77%,7.62%,6.11%,,0.80%,0.94%,4.50%,5.63%,29.51%
EXE,104.505,24446596145,Expand Energy Corporation,15,10.66%,-61.63%,,,121.94%,5.53,1.80%,,2.04%,-18.64%,7.39%
WBD,9.8299,24163724500,"Warner Bros. Discovery, Inc.",23,18.94%,-5.87%,29.00%,49.31%,0.41%,0.09,-9.80%,0.72%,-13.78%,3.13%,-26.22%
AFRM,75.64,24814771797,"Affirm Holdings, Inc.",19,-6.95%,46.27%,,35.61%,23.07%,,-2.00%,-10.26%,-3.62%,-12.57%,-13.26%
NTAP,117.63,23914884780,"NetApp, Inc.",18,15.56%,6.10%,2.35%,2.28%,5.56%,,12.30%,10.54%,38.16%,31.22%,20.99%
CHKP,217.42,24041183970,Check Point Software Technologies Ltd.,24,-0.89%,6.22%,5.16%,5.78%,5.52%,9.36,15.10%,14.72%,27.32%,25.47%,34.15%
TROW,107.19,24221995770,"T. Rowe Price Group, Inc.",12,6.79%,8.96%,4.85%,-2.44%,4.01%,,16.20%,20.44%,15.15%,23.05%,30.81%
ONC,222.33,25576337884,"BeiGene, Ltd.",,,50.46%,50.47%,46.15%,24.32%,48.87,-15.00%,-29.82%,-19.23%,-39.78%,-3.60%
GFS,42.81,23786734805,GlobalFoundries Inc.,15,18.17%,-8.69%,,0.83%,8.66%,1.88,-1.50%,0.18%,-1.69%,1.27%,-3.17%
TDY,507.2,23699133642,Teledyne Technologies Incorporated,5,-0.02%,-0.64%,12.69%,11.38%,5.14%,4.21,6.50%,6.58%,8.08%,8.21%,18.30%
DECK,155.47,23925653360,Deckers Outdoor Corporation,19,40.37%,19.52%,18.00%,18.28%,10.82%,14.56,27.30%,19.50%,30.83%,24.66%,23.35%
FOX,51.6,23610960040,Fox Corporation,,,4.29%,5.33%,3.76%,-3.42%,2.86,9.80%,6.36%,11.13%,8.91%,18.70%
SMCI,39.87,23522146050,"Super Micro Computer, Inc.",16,36.54%,79.79%,26.65%,51.72%,20.06%,6.73,19.00%,8.76%,15.17%,13.67%,9.72%
WDC,67.03,23759857440,Western Digital Corporation,21,25.89%,38.59%,0.02%,-6.26%,8.66%,2.62,4.90%,-0.44%,7.73%,1.46%,12.63%
WRB,60.98,23130888300,W. R. Berkley Corporation,13,9.88%,10.53%,10.86%,12.81%,7.83%,,4.10%,3.18%,14.84%,11.58%,16.41%
ATO,145.46,23026670960,Atmos Energy Corporation,9,-0.40%,5.90%,7.60%,6.06%,10.84%,1.61,4.30%,3.92%,5.53%,5.30%,33.85%
WST,318.09,23348949520,"West Pharmaceutical Services, Inc.",5,26.95%,-1.71%,9.93%,2.37%,5.46%,18.32,13.70%,15.94%,15.44%,18.06%,19.86%
IX,100.34,21797546677,ORIX Corporation,,,8.05%,4.46%,5.51%,6.27%,,2.40%,2.06%,3.97%,3.55%,20.00%
FE,39.925,23032508905,FirstEnergy Corp.,13,17.04%,4.19%,3.96%,6.88%,3.99%,0.82,1.80%,2.16%,3.54%,4.02%,26.25%
HAL,26.105,23271517980,Halliburton Company,18,42.47%,0.93%,-0.07%,17.41%,4.23%,3.40,10.20%,1.36%,16.27%,4.91%,17.11%
DRI,194.63,22745261520,"Darden Restaurants, Inc.",26,-1.82%,5.14%,5.97%,10.46%,7.96%,2.41,9.00%,6.74%,14.07%,11.13%,11.61%
TOST,39.9,22776799399,"Toast, Inc.",22,-9.46%,29.50%,,48.02%,23.57%,18.44,-2.30%,,-5.04%,12.58%,-1.57%
NTRA,170.12,22405283740,"Natera, Inc.",17,-2.55%,54.94%,39.88%,39.46%,9.76%,17.98,-14.30%,-36.66%,-18.01%,-37.00%,-15.80%
TPG,61.46,22186396331,TPG Inc.,13,-1.22%,84.54%,,-14.48%,17.21%,,0.20%,,1.05%,,2.44%
DVN,34.085,23083466000,Devon Energy Corporation,21,46.73%,1.75%,15.68%,19.40%,8.63%,2.26,13.00%,5.48%,15.98%,7.81%,29.93%
PUK,18.1,22411543546,Prudential plc,,,52.51%,-30.48%,-47.63%,11.35%,,1.00%,0.02%,9.82%,7.57%,25.22%
WAT,376.075,24064580098,Waters Corporation,13,2.02%,-3.01%,3.85%,2.02%,5.22%,9.39,13.80%,20.10%,19.80%,32.43%,27.48%
SBAC,207.405,22174468290,SBA Communications Corporation,15,21.71%,-2.27%,6.04%,5.76%,2.09%,0.47,6.80%,2.72%,12.17%,7.51%,47.47%
CBOE,212.68,22060480780,"Cboe Global Markets, Inc.",12,-0.70%,3.84%,8.37%,4.44%,4.57%,4.42,9.20%,7.16%,13.50%,9.86%,27.65%
VIK,51.42,21955670910,Viking Holdings Ltd,13,-9.59%,,,,17.42%,,,,,,18.80%
RYAAY,45.525,24472694850,Ryanair Holdings plc,2,32.37%,24.77%,,45.22%,7.67%,3.17,11.40%,3.00%,17.92%,6.36%,14.60%
PSTG,67.54,21962274840,"Pure Storage, Inc.",21,6.51%,11.36%,15.19%,19.08%,11.52%,6.17,3.50%,-6.78%,4.64%,-9.39%,3.25%
TWLO,143.26,21970724160,Twilio Inc.,24,-16.30%,5.77%,33.91%,19.43%,8.14%,6.93,-4.30%,-7.92%,-4.59%,-7.74%,-9.89%
NVR,7284.555,22961819717,"NVR, Inc.",4,28.48%,3.16%,6.49%,4.05%,5.70%,,25.10%,23.94%,31.06%,29.06%,20.57%
FTS,44.015,21856335000,Fortis Inc.,,,-3.02%,5.73%,7.50%,5.09%,0.75,2.30%,2.38%,4.81%,5.03%,26.65%
DKNG,44.85,21182560320,DraftKings Inc.,25,15.32%,40.01%,,59.04%,32.18%,2.61,-10.30%,-39.38%,-21.23%,-150.07%,-11.15%
ASX,10.225,22089869038,"ASE Technology Holding Co., Ltd.",1,,-0.84%,7.62%,2.84%,12.18%,,4.70%,6.22%,6.15%,8.24%,6.45%
ADM,45.67,21883359820,Archer-Daniels-Midland Company,8,21.08%,-10.20%,6.24%,2.78%,1.58%,3.05,3.40%,5.08%,4.00%,7.02%,2.01%
TU,14.615,21870000000,TELUS Corporation,2,77.90%,1.14%,6.76%,7.10%,2.00%,,1.60%,3.16%,4.78%,5.88%,12.75%
RF,23.995,21844546240,Regions Financial Corporation,17,15.62%,-9.63%,3.83%,-2.90%,4.62%,,1.10%,1.20%,6.59%,9.11%,33.06%
IFF,85.15,21805839370,International Flavors & Fragrances Inc.,15,23.54%,-1.76%,17.60%,4.88%,-1.78%,1.12,-7.70%,-1.12%,-9.04%,-0.41%,-19.38%
SSNC,87.63,21476766350,"SS&C Technologies Holdings, Inc.",8,2.42%,6.16%,4.89%,5.13%,4.35%,1.98,4.00%,3.76%,7.07%,6.58%,22.90%
ES,59.21,22519066920,Eversource Energy,13,12.58%,-5.08%,6.43%,6.53%,5.61%,0.64,-1.00%,1.94%,,4.76%,22.54%
STE,220.725,21733076960,STERIS plc,6,18.02%,8.81%,11.35%,6.25%,6.17%,4.85,4.50%,4.16%,7.59%,6.10%,17.95%
MT,29.205,21704197877,ArcelorMittal S.A.,4,3.73%,-14.49%,48.15%,-10.10%,3.12%,1.98,1.00%,4.96%,2.88%,7.43%,3.43%
CCJ,49.995,21676764090,Cameco Corporation,4,32.27%,38.53%,25.63%,2.77%,10.03%,5.83,3.90%,0.78%,2.66%,0.02%,10.15%
VRSN,227.8,21848335000,"VeriSign, Inc.",2,9.85%,4.08%,4.65%,5.66%,1.88%,-5.48,53.30%,41.22%,-215.50%,265.70%,68.12%
TECK,42.97,21031992310,Teck Resources Limited,8,51.48%,19.26%,3.43%,8.42%,-19.39%,,0.80%,3.20%,2.31%,5.50%,14.27%
VOD,8.645,21488680000,Vodafone Group Public Limited Company,,,1.01%,-7.21%,-10.00%,1.62%,-0.67,1.80%,,2.70%,1.54%,9.65%
WY,29.605,21797460000,Weyerhaeuser Company,8,19.19%,-6.90%,1.60%,-10.59%,5.52%,2.76,3.20%,6.96%,5.14%,11.03%,11.43%
MDB,288.02,21307528072,"MongoDB, Inc.",31,27.07%,20.79%,37.94%,35.03%,17.63%,7.46,-6.50%,-14.86%,-10.07%,-16.04%,-14.01%
BBDO,1.915,20149962876,Banco Bradesco S.A.,3,32.81%,-7.36%,,12.32%,10.73%,,0.80%,1.22%,-8.91%,-9.46%,-21.71%
BBD,2.065,21440436811,Banco Bradesco S.A.,3,23.49%,-7.36%,,12.32%,10.73%,,0.80%,1.22%,-8.91%,-9.46%,-21.72%
NTRS,109.435,21887231560,Northern Trust Corporation,12,2.88%,16.78%,5.38%,7.12%,4.15%,,1.10%,0.84%,5.73%,5.83%,28.14%
LII,602.02,21210112820,Lennox International Inc.,12,2.01%,4.68%,6.47%,7.53%,6.43%,9.43,24.50%,19.50%,36.06%,36.86%,18.11%
PBA,36.695,21415788590,Pembina Pipeline Corporation,1,60.74%,7.10%,1.36%,-0.18%,13.47%,,5.40%,4.24%,8.45%,6.50%,28.26%
TS,38.96,22211698413,Tenaris S.A.,4,4.50%,4.67%,13.08%,45.86%,-0.10%,6.19,16.37%,8.21%,18.27%,10.34%,26.58%
PHM,104.97,21729817140,"PulteGroup, Inc.",16,34.33%,11.74%,11.94%,9.32%,6.03%,,18.30%,16.34%,21.04%,19.59%,21.73%
CNP,32.605,21122472070,"CenterPoint Energy, Inc.",13,-3.73%,-7.18%,14.94%,1.90%,3.43%,0.80,2.40%,1.54%,5.40%,4.60%,21.35%
HUBB,393.3,21310945435,Hubbell Incorporated,8,19.90%,7.50%,4.02%,15.84%,4.93%,,10.90%,9.14%,16.04%,13.10%,18.78%
STX,99.67,20711295810,Seagate Technology Holdings plc,20,23.43%,24.17%,-4.20%,-12.45%,13.82%,1.63,15.30%,8.52%,27.38%,15.97%,16.78%
KB,57,21267396753,KB Financial Group Inc.,,,7.84%,36.97%,175.26%,2.44%,,0.70%,0.66%,7.22%,3.12%,90.40%
NRG,103.78,21200557560,"NRG Energy, Inc.",7,7.34%,-5.87%,23.93%,8.57%,2.07%,2.20,3.60%,12.00%,11.97%,21.47%,8.20%
CINF,134.105,21795000450,Cincinnati Financial Corporation,7,7.16%,24.39%,13.40%,10.53%,-2.87%,,8.90%,5.42%,21.21%,12.04%,32.27%
IHG,135.66,21223932479,InterContinental Hotels Group PLC,3,,18.81%,,37.78%,6.95%,,16.60%,6.80%,46.81%,27.73%,22.38%
UI,345,21049176345,Ubiquiti Inc.,2,-4.06%,14.59%,12.32%,5.42%,9.57%,18.49,37.70%,46.54%,67.58%,81.54%,27.79%
BCE,23.075,20836543720,BCE Inc.,7,82.86%,-0.73%,0.57%,1.57%,0.44%,0.56,0.10%,4.04%,2.74%,7.61%,20.06%
Z,79.495,20017966142,"Zillow Group, Inc.",24,-3.33%,6.03%,6.15%,5.32%,14.40%,5.84,-2.40%,-3.48%,-4.14%,-0.99%,-13.47%
CMS,69.42,20732691150,CMS Energy Corporation,12,2.31%,0.71%,2.56%,0.84%,3.15%,0.94,2.90%,3.10%,4.80%,5.06%,26.20%
TSN,58.15,20328297390,"Tyson Foods, Inc.",11,6.31%,1.27%,4.50%,2.68%,1.44%,3.14,2.80%,4.76%,4.71%,7.14%,3.28%
MKC.V,76.4259,20701487104,"McCormick & Company, Incorporated",8,9.58%,2.57%,4.67%,3.51%,3.53%,2.70,5.20%,5.62%,8.17%,8.43%,15.11%
ON,49.02,20408450210,ON Semiconductor Corporation,25,36.65%,-14.19%,5.12%,1.67%,0.86%,4.54,11.40%,11.90%,12.45%,14.71%,24.96%
MKC,76.79,20699620637,"McCormick & Company, Incorporated",8,8.63%,0.92%,4.69%,2.10%,3.53%,2.71,5.50%,5.44%,8.75%,8.19%,15.77%
STM,23.47,20373316775,STMicroelectronics N.V.,9,45.77%,-18.36%,8.53%,4.58%,13.71%,3.52,9.20%,14.26%,10.26%,17.17%,16.38%
CTRA,27.82,21018140300,Coterra Energy Inc.,18,18.62%,-14.23%,19.51%,49.90%,39.37%,2.78,6.00%,12.30%,8.39%,14.70%,28.98%
STLD,134.01,20416054500,"Steel Dynamics, Inc.",12,7.60%,-7.67%,10.19%,4.47%,9.32%,5.09,11.60%,17.64%,13.47%,22.16%,12.42%
CFG,46.07,20787866170,"Citizens Financial Group, Inc.",18,6.38%,-8.64%,3.20%,1.05%,8.41%,,0.50%,0.88%,3.27%,5.00%,22.28%
LH,243.03,20503338002,Labcorp Holdings Inc.,17,8.89%,5.43%,2.22%,-8.43%,4.94%,2.73,2.50%,6.66%,3.27%,8.53%,5.88%
EC,9.665,20147183000,Ecopetrol S.A.,2,-12.14%,-10.29%,,31.68%,2.02%,1.53,7.20%,7.76%,14.87%,13.07%,27.19%
ERIE,384.45,18325525425,Erie Indemnity Company,,,17.03%,8.47%,12.26%,11.54%,15.73,21.10%,15.32%,25.89%,21.42%,17.25%
TME,12.69,20600471960,Tencent Music Entertainment Group,9,10.12%,-5.81%,4.48%,-4.80%,9.54%,5.78,7.20%,6.32%,7.45%,6.50%,22.35%
EIX,51.82,19671091500,Edison International,14,58.88%,4.04%,6.94%,5.55%,4.14%,0.62,1.60%,1.30%,5.31%,4.84%,16.92%
PTC,166.54,20212025520,PTC Inc.,11,26.67%,6.05%,12.62%,8.01%,10.12%,5.19,6.30%,6.52%,9.72%,9.21%,25.28%
EME,435.49,19990212555,"EMCOR Group, Inc.",3,12.91%,17.71%,9.60%,14.25%,8.15%,6.18,13.40%,7.06%,29.22%,14.13%,8.75%
