Symbol,Company Name,Market Cap,IPO Date,PT Diff. (%),OpInc Growth 5Y,Rev. Growth 5Y,Rev Gr. Next Y,Rev Gr. Next 5Y,OpInc Growth 3Y,Rev. Growth 3Y,Analyst Count,FCF Growth 3Y,FCF Growth 5Y,Debt Growth (5Y),Debt Growth (3Y),Oper. Margin,EBITDA Margin,ROA,ROIC,ROA (5Y),ROIC (5Y),Current Ratio,Quick Ratio,Debt / EBITDA,Z-Score,Tax / Revenue,R&D / Rev,Debt Growth (YoY),FCF Growth,Rev. Growth,Sector,Industry
EMN,Eastman Chemical Company,12081611990,1993-10-10,7.59%,-1.15%,-0.21%,4.28%,1.87%,-5.27%,-2.13%,14,-19.58%,-11.85%,-4.03%,-2.71%,12.02%,20.34%,6.00%,7.72%,4.90%,8.99%,1.52,0.75,2.66,2.72,3.40%,2.58%,-3.18%,14.42%,-0.34%,Materials,Specialty Chemicals
DECK,Deckers Outdoor Corporation,29134081940,1993-10-14,-9.01%,25.62%,17.41%,10.90%,10.48%,23.12%,17.57%,21,30.10%,25.88%,-2.58%,3.84%,22.98%,25.82%,26.60%,33.36%,19.50%,24.66%,3.09,2.01,0.22,18.82,5.50%,,3.01%,10.97%,19.25%,Consumer Discretionary,Footwear & Accessories
BYD,Boyd Gaming Corporation,6545433828,1993-10-15,23.14%,12.67%,3.19%,0.69%,,1.12%,7.13%,14,-10.98%,12.20%,-4.29%,-3.61%,21.37%,30.59%,8.00%,11.79%,5.56%,9.44%,0.82,0.64,3.18,2.22,3.88%,,2.85%,-7.47%,3.69%,Consumer Discretionary,Resorts & Casinos
CBL,"CBL & Associates Properties, Inc.",961375958,1993-10-27,,,,,,,,,,,,-20.78%,24.78%,65.89%,1.40%,6.16%,,,,,5.15,,0.07%,,-6.60%,10.25%,-3.96%,Real Estate,REIT - Retail
PTN,"Palatin Technologies, Inc.",22089466,1993-10-28,1391.23%,,-47.60%,,158.70%,,109.46%,1,,,,-26.04%,-1013.04%,-1342.60%,-330.80%,,-97.24%,-301.80%,0.27,,,-216.20,,970.15%,-49.64%,,-60.85%,Healthcare,Biotechnology
REG,Regency Centers Corporation,13719962950,1993-10-29,1.20%,6.26%,5.00%,3.42%,,7.23%,8.51%,14,-5.76%,-2.18%,2.45%,5.35%,34.33%,67.82%,3.10%,4.34%,2.70%,3.91%,,,4.75,,,,7.62%,17.73%,12.81%,Real Estate,REIT - Retail
PTEN,"Patterson-UTI Energy, Inc.",3299027760,1993-11-02,43.33%,,15.89%,-4.32%,11.53%,,73.46%,14,,6.39%,5.60%,12.41%,-12.87%,7.82%,-12.40%,-15.32%,-8.56%,-11.46%,1.52,1.14,2.89,1.25,0.67%,,-2.62%,67.84%,73.11%,Energy,Oil & Gas Drilling
INCY,Incyte Corporation,14635620500,1993-11-04,1.18%,,14.10%,10.35%,9.13%,,11.85%,20,-61.63%,-44.61%,-8.66%,-1.63%,-1.30%,8.95%,0.60%,-0.20%,8.76%,9.45%,1.87,1.69,0.09,5.72,5.92%,63.43%,0.73%,-94.72%,12.94%,Healthcare,Biotechnology
ITRI,"Itron, Inc.",5344470288,1993-11-04,1.01%,13.68%,-0.46%,1.17%,6.50%,40.01%,5.97%,12,7.47%,10.27%,4.15%,35.64%,10.45%,14.31%,7.60%,8.26%,0.02%,2.47%,3.37,2.53,3.69,2.93,1.53%,8.76%,160.59%,332.38%,16.53%,Technology,Scientific & Technical Instruments
ROCK,"Gibraltar Industries, Inc.",2180008035,1993-11-04,,14.25%,9.08%,6.10%,,11.06%,1.68%,,,4.37%,8.66%,-24.68%,10.73%,12.72%,8.20%,10.41%,6.94%,9.78%,2.10,1.56,0.18,5.47,2.74%,,83.36%,-43.55%,-2.00%,Industrials,Building Products & Equipment
URBN,"Urban Outfitters, Inc.",4495844419,1993-11-09,-5.05%,3.05%,6.25%,5.87%,5.02%,0.84%,8.69%,11,11.83%,16.39%,-3.23%,-4.67%,7.18%,13.73%,7.40%,8.69%,,6.09%,1.46,0.63,1.51,3.79,1.83%,,-0.66%,13.48%,7.57%,Consumer Discretionary,Apparel Retail
UFPI,"UFP Industries, Inc.",8340537545,1993-11-10,8.90%,17.51%,8.79%,3.34%,,-5.24%,-5.72%,4,17.78%,25.96%,11.25%,-1.00%,7.99%,11.03%,10.90%,11.59%,14.12%,17.62%,4.31,3.10,0.55,8.45,1.96%,,5.34%,-34.88%,-11.74%,Materials,Lumber & Wood Production
CNTY,"Century Casinos, Inc.",137151222,1993-11-10,25.00%,35.81%,24.30%,9.18%,,-9.20%,16.71%,4,,,53.12%,27.15%,9.11%,17.85%,-5.60%,,-2.00%,42.75%,1.79,1.55,9.82,0.65,3.66%,,0.34%,,14.06%,Consumer Discretionary,Resorts & Casinos
HAIN,"The Hain Celestial Group, Inc.",778375083,1993-11-12,14.03%,,-3.78%,2.43%,3.08%,,-3.97%,7,-14.44%,,15.43%,24.17%,-0.80%,1.07%,-3.90%,-0.76%,-1.04%,1.06%,2.01,0.87,44.88,1.68,0.06%,,-10.18%,18.13%,-4.29%,Consumer Staples,Packaged Foods
RDUS,"Radius Recycling, Inc.",552614075,1993-11-15,,,5.13%,0.17%,,,-0.24%,1,,,38.64%,36.96%,-10.81%,-7.23%,-16.30%,-25.48%,0.62%,0.76%,1.92,0.83,,2.30,-2.02%,,47.35%,,-4.98%,Materials,Steel
FWRD,Forward Air Corporation,1049597000,1993-11-16,-18.23%,,12.12%,8.07%,,,8.24%,4,,,54.92%,89.61%,-58.23%,-30.22%,-20.80%,-49.55%,9.54%,10.20%,1.22,1.12,,0.00,-10.21%,,603.68%,,61.47%,Industrials,Integrated Freight & Logistics
VIAV,Viavi Solutions Inc.,2204821220,1993-11-17,12.27%,-28.83%,-3.13%,6.97%,,-53.08%,-7.23%,9,-28.33%,-9.35%,1.76%,-7.31%,1.65%,7.02%,-2.10%,-113.76%,1.40%,2.22%,3.71,3.01,9.17,-53.79,3.82%,20.33%,-12.33%,-34.13%,-5.09%,Technology,Communication Equipment
SUI,"Sun Communities, Inc.",16297002700,1993-12-08,9.83%,-19.45%,20.97%,3.58%,,-37.73%,14.83%,12,,,18.00%,16.03%,3.16%,26.69%,-0.70%,,1.42%,3.09%,,,8.57,,-0.55%,,-4.44%,,0.94%,Real Estate,REIT - Residential
SHOO,"Steven Madden, Ltd.",3290465780,1993-12-10,0.92%,3.65%,4.26%,5.30%,8.25%,5.54%,10.61%,8,18.56%,4.71%,-1.78%,11.44%,9.82%,10.74%,12.40%,17.02%,11.06%,14.32%,2.09,1.40,0.68,7.43,2.20%,,26.51%,-13.62%,14.89%,Consumer Discretionary,Footwear & Accessories
SPG,"Simon Property Group, Inc.",60614440600,1993-12-13,-12.32%,1.00%,0.62%,2.33%,,10.12%,6.28%,9,-1.31%,-1.07%,-0.53%,-0.20%,51.60%,81.05%,7.30%,10.24%,5.96%,8.54%,,,5.42,,1.64%,,2.09%,0.77%,6.83%,Real Estate,REIT - Retail
TV,"Grupo Televisa, S.A.B.",1061604294,1993-12-13,161.19%,-7.71%,23.56%,-2.34%,-0.47%,-40.67%,5.63%,5,-66.06%,-38.79%,,19.22%,3.99%,27.33%,-3.00%,,3.08%,2.89%,1.78,1.36,3.97,1.23,3.03%,,-27.20%,,-2.33%,Communication Services,Telecom Services
UFPT,"UFP Technologies, Inc.",2478204331,1993-12-16,0.18%,25.76%,18.36%,18.19%,,49.79%,33.27%,3,36.99%,11.19%,65.55%,413.65%,15.66%,18.25%,11.60%,10.69%,9.14%,11.63%,2.57,1.35,2.70,6.76,2.51%,,295.54%,17.98%,18.48%,Healthcare,Medical Devices
STCN,"Steel Connect, Inc.",64940310,1994-01-25,,,-26.65%,,,,-8.36%,,,23.10%,-38.36%,7.04%,4.29%,20.98%,19.10%,16.65%,-0.12%,-38.50%,3.94,3.76,0.93,1.74,-38.49%,,-14.23%,14.90%,-7.92%,Industrials,Integrated Freight & Logistics
MAA,"Mid-America Apartment Communities, Inc.",19324354800,1994-01-28,2.00%,9.38%,6.12%,1.43%,,14.91%,7.90%,19,-35.53%,-24.57%,1.73%,2.40%,30.74%,57.95%,4.50%,6.15%,4.10%,4.99%,,,3.85,,0.21%,,10.96%,-85.16%,2.31%,Real Estate,REIT - Residential
SGMA,"SigmaTron International, Inc.",16644469,1994-02-09,,-1.17%,4.22%,,,-18.72%,5.97%,,41.39%,45.35%,10.27%,14.65%,1.14%,2.98%,-2.60%,,-0.62%,5.89%,1.16,0.30,7.75,2.03,0.19%,,-15.91%,3130.51%,-11.50%,Technology,Electronic Components
DAKT,"Daktronics, Inc.",730055285,1994-02-10,,,6.38%,4.32%,,73.98%,18.88%,,-5.03%,65.08%,,,8.58%,5.95%,2.00%,8.87%,2.28%,6.39%,2.17,1.17,1.57,3.86,1.93%,4.55%,77.00%,20.51%,-0.39%,Technology,Electronic Components
SNEX,StoneX Group Inc.,3331512288,1994-02-11,,28.38%,25.25%,-0.27%,,30.70%,23.83%,,-32.89%,-6.75%,18.23%,16.62%,0.38%,0.47%,1.00%,1.59%,1.02%,1.65%,,,31.74,,0.11%,,30.78%,,40.89%,Financials,Capital Markets
MLM,"Martin Marietta Materials, Inc.",36612797805,1994-02-16,7.69%,25.88%,6.93%,10.36%,6.44%,38.67%,8.51%,15,-10.08%,0.16%,5.38%,-7.17%,41.12%,50.54%,12.40%,15.14%,6.44%,8.33%,2.34,1.11,1.35,4.53,9.15%,,-6.17%,-32.09%,-2.01%,Materials,Building Materials
TSCO,Tractor Supply Company,30385011600,1994-02-17,-0.94%,15.14%,12.23%,5.20%,6.29%,7.38%,6.32%,22,-5.51%,3.61%,12.86%,11.29%,10.04%,12.96%,11.60%,15.10%,12.14%,15.67%,1.49,,2.79,5.56,2.18%,,7.16%,-28.95%,-0.89%,Consumer Discretionary,Specialty Retail
ALB,Albemarle Corporation,12681402354,1994-02-17,6.14%,,13.07%,0.81%,6.79%,,25.20%,22,,,12.89%,20.85%,-40.46%,-14.64%,-10.80%,-19.05%,7.98%,8.52%,2.44,1.40,,1.81,3.00%,1.38%,-2.44%,,-34.20%,Materials,Specialty Chemicals
SILC,Silicom Ltd.,79469058,1994-02-18,,,-13.01%,4.15%,,,-20.90%,1,,,14.17%,-10.26%,-75.96%,,-26.50%,-33.60%,1.68%,0.95%,8.55,5.76,,3.39,-4.92%,31.81%,1.88%,,-58.56%,Technology,Communication Equipment
BZH,"Beazer Homes USA, Inc.",1084583486,1994-02-23,13.18%,,2.22%,14.20%,,-0.88%,2.87%,3,,,-2.37%,-0.72%,6.14%,7.47%,5.60%,5.53%,6.22%,6.91%,,,6.01,,0.81%,,4.83%,,5.59%,Consumer Discretionary,Residential Construction
TIGO,Millicom International Cellular S.A.,4388685000,1994-02-28,41.42%,22.56%,7.03%,1.36%,3.87%,68.97%,16.21%,4,,50.16%,2.75%,5.25%,19.71%,45.67%,1.60%,3.52%,0.70%,1.91%,0.93,0.62,2.71,1.29,7.47%,,-6.32%,219.53%,5.10%,Communication Services,Telecom Services
PLD,"Prologis, Inc.",109103415000,1994-03-01,11.46%,10.05%,18.96%,7.25%,,15.57%,19.76%,18,,,22.11%,23.52%,48.54%,83.53%,3.30%,4.29%,4.04%,4.70%,,,4.90,,1.76%,,17.08%,,0.06%,Real Estate,REIT - Industrial
BCRX,"BioCryst Pharmaceuticals, Inc.",1553497500,1994-03-03,108.00%,,103.44%,19.04%,18.72%,,53.52%,5,,,60.31%,39.43%,-9.87%,-5.84%,-25.40%,-10.90%,-61.90%,-48.84%,2.78,2.63,,-2.66,-0.07%,47.32%,-0.39%,,29.92%,Healthcare,Biotechnology
MAC,The Macerich Company,5221131655,1994-03-09,-22.88%,21.12%,-1.08%,3.53%,,40.16%,2.81%,9,-30.27%,-18.12%,-4.09%,-2.42%,49.74%,61.94%,1.00%,6.43%,-1.10%,1.40%,,,8.07,,-0.12%,,-2.07%,-46.15%,1.10%,Real Estate,REIT - Retail
AVB,"AvalonBay Communities, Inc.",33759240765,1994-03-10,-5.97%,1.62%,4.50%,4.78%,,15.93%,8.56%,18,,,2.66%,2.44%,31.09%,73.11%,5.00%,4.37%,4.78%,3.88%,,,4.06,,0.11%,,5.54%,-60.87%,5.31%,Real Estate,REIT - Residential
ZEUS,"Olympic Steel, Inc.",471016075,1994-03-10,,24.59%,3.57%,5.62%,,-28.31%,-0.11%,,,-13.06%,-1.41%,-10.09%,2.59%,4.08%,2.60%,4.75%,5.28%,7.94%,3.52,1.18,2.84,3.93,0.48%,,1.31%,-73.05%,-8.06%,Materials,Steel
CPRT,"Copart, Inc.",61078039920,1994-03-16,-12.18%,15.49%,15.37%,9.19%,11.26%,9.13%,14.46%,3,14.34%,25.07%,-26.39%,-39.71%,36.28%,41.26%,16.90%,15.77%,20.72%,21.29%,6.62,6.29,0.06,41.31,8.06%,,-12.04%,6.54%,9.17%,Industrials,Specialty Business Services
FLEX,Flex Ltd.,15152620725,1994-03-18,4.77%,20.26%,-0.76%,5.26%,,-9.88%,-1.44%,6,18.69%,,3.63%,-1.05%,3.04%,7.39%,5.00%,8.54%,3.74%,8.53%,1.44,0.66,2.31,2.51,-0.20%,,7.06%,125.98%,-10.09%,Technology,Electronic Components
SCSC,"ScanSource, Inc.",1202575869,1994-03-18,-28.59%,-4.56%,0.25%,4.90%,,-2.39%,-0.95%,2,,106.29%,-17.25%,-10.05%,2.65%,4.48%,4.40%,5.97%,0.98%,3.97%,2.03,1.07,1.02,4.08,0.79%,,-42.10%,232.23%,-15.08%,Technology,Electronics & Computer Distribution
MPAA,"Motorcar Parts of America, Inc.",137771492,1994-03-23,,6.70%,7.60%,6.99%,,-8.81%,6.32%,,,,1.17%,1.03%,3.76%,7.13%,-6.70%,,-0.54%,5.53%,1.39,0.32,4.47,1.18,5.00%,1.36%,-16.19%,,5.20%,Consumer Discretionary,Auto Parts
EXP,Eagle Materials Inc.,10261932362,1994-04-12,-0.82%,20.00%,11.67%,6.21%,,13.84%,9.37%,9,-2.96%,15.54%,1.18%,8.84%,27.60%,36.12%,16.10%,19.17%,12.38%,15.65%,2.34,1.09,1.34,5.88,6.21%,,-2.05%,9.67%,2.83%,Materials,Building Materials
AEO,"American Eagle Outfitters, Inc.",3568549120,1994-04-13,26.06%,-1.60%,5.34%,3.38%,,-7.84%,5.95%,9,12.16%,3.90%,-3.94%,-8.28%,5.79%,10.19%,7.00%,7.71%,3.96%,4.39%,1.57,0.53,2.40,4.06,1.59%,,3.07%,-32.52%,7.90%,Consumer Discretionary,Apparel Retail
ADC,Agree Realty Corporation,8045807560,1994-04-15,-1.39%,26.13%,28.26%,8.06%,,18.23%,23.43%,13,,,23.57%,20.55%,49.30%,82.21%,2.30%,3.64%,2.60%,3.63%,,,5.42,,0.66%,,19.85%,,17.78%,Real Estate,REIT - Retail
NKTR,Nektar Therapeutics,210282120,1994-05-03,250.88%,,-5.03%,-3.89%,17.00%,,-2.46%,4,,,-23.10%,-9.58%,-164.34%,-147.93%,-46.60%,-97.40%,-38.06%,-58.93%,4.24,,,-16.28,-0.01%,131.10%,-10.74%,,5.53%,Healthcare,Biotechnology
NNBR,"NN, Inc.",195290033,1994-05-15,,,-1.55%,3.42%,,,-1.10%,,,,-27.15%,-3.10%,-3.96%,7.06%,-7.60%,-6.21%,-5.62%,-9.00%,1.96,0.87,5.83,0.60,0.45%,,-6.02%,,-4.94%,Industrials,Conglomerates
SYPR,"Sypris Solutions, Inc.",34763220,1994-05-18,,,9.41%,,,28.97%,15.32%,,,,0.44%,4.21%,0.95%,3.33%,-2.30%,,-0.72%,-1.30%,1.26,0.26,3.82,0.21,0.99%,,32.76%,,7.82%,Consumer Discretionary,Auto Parts
BSAC,Banco Santander-Chile,8951185000,1994-05-23,13.16%,,,11.25%,,28.12%,22.49%,2,-6.92%,,,10.95%,47.60%,38.52%,0.80%,5.73%,1.16%,5.75%,,,12.09,,4.58%,,-22.39%,,-13.30%,Financials,Banks - Regional
SSD,"Simpson Manufacturing Co., Inc.",7911250083,1994-05-25,16.19%,21.04%,14.71%,5.15%,,11.04%,15.23%,1,-14.59%,-12.61%,81.44%,153.07%,19.16%,23.54%,11.60%,13.21%,14.68%,17.70%,3.53,1.85,1.03,7.01,4.98%,4.22%,-12.92%,-78.58%,1.31%,Materials,Lumber & Wood Production
PENN,"PENN Entertainment, Inc.",3217419320,1994-05-26,7.60%,,4.27%,5.63%,6.64%,,5.56%,18,,,-0.14%,-0.82%,-2.98%,10.02%,-3.40%,-1.31%,-0.66%,1.45%,0.94,0.79,17.91,0.48,-0.99%,,-1.58%,,-3.79%,Consumer Discretionary,Resorts & Casinos
ESS,"Essex Property Trust, Inc.",20105444700,1994-06-06,-8.02%,-0.25%,3.91%,4.46%,,12.45%,6.77%,19,-33.94%,-17.66%,0.94%,1.39%,30.37%,77.43%,4.40%,4.46%,3.60%,3.86%,,,4.76,,,,2.37%,-77.48%,4.74%,Real Estate,REIT - Residential
HIW,"Highwoods Properties, Inc.",3454661700,1994-06-07,-4.32%,5.56%,2.66%,-0.13%,,-7.88%,3.56%,5,-8.75%,15.85%,7.25%,3.84%,33.61%,71.90%,2.40%,4.98%,4.06%,6.33%,,,5.54,,,,2.59%,62.70%,-1.39%,Real Estate,REIT - Office
IMAX,IMAX Corporation,1371328078,1994-06-09,-7.09%,-7.98%,-1.90%,9.71%,,,19.54%,10,,-16.73%,72.47%,5.88%,10.73%,27.69%,2.80%,6.11%,-2.14%,-0.01%,,,2.89,,0.49%,1.93%,9.48%,-56.38%,-10.68%,Communication Services,Entertainment
FR,"First Industrial Realty Trust, Inc.",7148169436,1994-06-23,7.90%,10.97%,9.16%,7.48%,,14.82%,11.73%,12,,,8.89%,10.38%,40.38%,82.13%,5.90%,5.35%,6.46%,4.69%,,,4.10,,0.87%,,-1.32%,,8.31%,Real Estate,REIT - Industrial
MATW,Matthews International Corporation,922971400,1994-07-20,32.63%,,3.16%,1.64%,,,2.43%,1,-33.72%,-18.55%,-2.26%,-0.28%,-0.69%,4.21%,-3.20%,-0.97%,-2.02%,-0.29%,1.46,0.57,11.09,1.95,-0.56%,,-2.91%,23.11%,-4.53%,Industrials,Conglomerates
AIV,Apartment Investment and Management Company,1265770240,1994-07-22,,,21.80%,6.56%,,,8.02%,,,,-20.26%,-5.13%,1.27%,-55.26%,-11.70%,,,-0.67%,,,,,-5.23%,,10.83%,,13.50%,Real Estate,REIT - Residential
GEO,"The GEO Group, Inc.",4054283865,1994-07-26,16.69%,2.12%,-0.26%,2.31%,,9.91%,2.11%,4,-14.50%,-4.96%,-8.63%,-16.48%,13.63%,15.37%,1.10%,9.55%,3.04%,6.50%,1.10,1.33,4.82,1.96,0.19%,,-8.67%,-14.29%,-0.05%,Industrials,Security & Protection Services
MLR,"Miller Industries, Inc.",846710676,1994-08-02,10.78%,13.55%,10.87%,6.72%,,39.83%,24.26%,1,20.01%,0.91%,40.63%,274.29%,6.98%,8.08%,9.80%,15.89%,7.00%,10.90%,2.12,1.43,0.61,4.55,1.41%,,8.06%,515.47%,22.98%,Consumer Discretionary,Auto Parts
ADTN,"ADTRAN Holdings, Inc.",665376501,1994-08-09,23.53%,,10.31%,11.07%,,,18.87%,2,24.38%,23.92%,53.12%,,-48.55%,-39.30%,-37.00%,-102.35%,-4.98%,-9.94%,2.10,0.90,,-0.20,5.33%,25.08%,-7.99%,,-29.37%,Technology,Communication Equipment
MSN,Emerson Radio Corp.,9048361,1994-08-11,,,6.33%,,,,7.80%,,,,-2.11%,0.44%,-43.17%,-29.86%,-11.00%,-16.91%,-7.06%,-11.83%,14.41,10.58,,2.17,0.05%,,39.27%,,21.23%,Technology,Consumer Electronics
CARV,"Carver Bancorp, Inc.",9401903,1994-08-16,,,6.34%,,,,3.76%,,,,-1.69%,9.35%,-15.16%,-12.05%,-0.60%,-4.86%,-0.52%,-3.68%,,,,,,,-17.08%,,9.41%,Financials,Banks - Regional
EFOI,"Energy Focus, Inc.",7838503,1994-08-18,,,-13.43%,,,,-18.91%,,,,-37.55%,-54.80%,-38.81%,-32.44%,-27.50%,-63.57%,-59.06%,-89.94%,2.02,0.53,,-31.69,0.05%,9.19%,-81.15%,,49.86%,Consumer Discretionary,"Furnishings, Fixtures & Appliances"
VRE,"Veris Residential, Inc.",1690805480,1994-08-24,-4.74%,,2.97%,4.50%,,,-3.65%,4,,,-11.84%,-10.94%,-2.54%,56.31%,-0.50%,-0.24%,-1.12%,-1.20%,,,10.80,,0.17%,,-12.28%,168.25%,5.93%,Real Estate,REIT - Residential
TSM,Taiwan Semiconductor Manufacturing Company Limited,809633808732,1994-09-05,23.49%,26.61%,20.53%,25.45%,13.73%,22.82%,20.62%,4,41.20%,33.53%,50.19%,16.85%,42.41%,69.33%,17.90%,19.83%,18.48%,21.13%,2.57,2.27,0.51,9.63,6.82%,7.24%,-0.27%,284.07%,22.65%,Technology,Semiconductors
SIRI,Sirius XM Holdings Inc.,9141493900,1994-09-13,11.17%,,4.01%,0.37%,0.75%,,0.75%,14,-15.81%,-10.78%,5.11%,5.08%,-16.68%,-3.20%,-7.60%,-6.80%,8.46%,15.61%,0.37,0.26,,1.01,1.82%,3.56%,10.75%,-28.19%,-1.67%,Communication Services,Entertainment
RS,"Reliance, Inc.",17541471636,1994-09-15,6.50%,7.45%,4.37%,1.23%,,-5.06%,4.70%,4,33.08%,-1.65%,-3.55%,-5.92%,9.56%,11.66%,9.90%,11.79%,11.88%,14.33%,3.31,1.48,0.94,6.74,2.10%,,12.09%,-30.00%,-6.86%,Materials,Steel
DAR,Darling Ingredients Inc.,6472458360,1994-09-22,29.57%,12.78%,11.98%,4.48%,,-14.49%,9.92%,10,13.96%,28.02%,20.74%,42.46%,7.91%,17.54%,2.40%,5.30%,7.54%,10.52%,1.41,0.69,4.31,1.94,-0.09%,,-3.35%,36.62%,-14.84%,Consumer Staples,Packaged Foods
PKX,POSCO Holdings Inc.,15586959708,1994-10-14,,-11.17%,2.49%,3.81%,,-18.46%,5.25%,,,,8.25%,12.01%,3.78%,13.07%,1.30%,2.24%,3.32%,5.01%,2.03,1.47,2.96,2.19,0.90%,,4.18%,,-7.54%,Materials,Steel
SSYS,Stratasys Ltd.,672702000,1994-10-20,19.54%,,-2.40%,3.22%,,,-0.24%,4,,,7.56%,26.52%,-12.15%,-7.93%,-8.50%,-8.14%,-11.44%,-16.61%,3.07,1.76,,-0.70,0.51%,17.19%,67.34%,,-8.26%,Technology,Computer Hardware
AZPN,"Aspen Technology, Inc.",15812429500,1994-10-25,1.20%,,,7.74%,,,53.81%,5,86.00%,,,27.82%,-11.45%,40.27%,-0.30%,-0.97%,,,3.11,1.38,0.22,8.25,-3.01%,18.50%,50.41%,2.68%,4.93%,Technology,Software - Application
KNX,Knight-Swift Transportation Holdings Inc.,9566257370,1994-10-25,-5.62%,-19.24%,8.20%,5.85%,5.94%,-39.22%,11.06%,17,-30.15%,-1.03%,23.86%,15.10%,2.46%,16.16%,0.30%,1.08%,5.10%,6.18%,1.01,0.81,2.79,1.92,0.31%,,4.70%,-15.22%,7.54%,Industrials,Trucking
TSEM,Tower Semiconductor Ltd.,5239165296,1994-10-25,27.31%,11.96%,2.11%,10.12%,,9.69%,-0.95%,3,,,-9.56%,-15.26%,13.57%,,6.90%,6.24%,9.22%,9.92%,5.82,4.76,,,1.30%,5.69%,-15.06%,,-4.99%,Technology,Semiconductors
CVLG,"Covenant Logistics Group, Inc.",767981061,1994-10-28,18.84%,13.03%,4.07%,6.37%,,-4.83%,4.91%,2,,,-3.06%,54.98%,4.47%,13.31%,4.30%,5.17%,5.18%,6.42%,1.10,0.90,2.11,2.72,1.13%,,30.94%,,0.22%,Industrials,Trucking
HDSN,"Hudson Technologies, Inc.",270061038,1994-11-01,23.06%,,8.83%,-0.60%,,6.11%,11.78%,4,,22.57%,-49.70%,-65.10%,15.08%,18.46%,10.30%,11.39%,11.46%,19.02%,4.37,1.83,0.08,5.37,3.37%,,-62.31%,92.17%,-15.19%,Materials,Specialty Chemicals
BSRR,Sierra Bancorp,454981696,1994-11-02,-7.85%,1.30%,4.36%,2.75%,,-4.25%,1.22%,2,-11.74%,15.89%,23.24%,17.98%,34.47%,36.54%,1.00%,5.62%,1.16%,6.38%,,,5.54,,9.07%,,-41.48%,42.13%,4.68%,Financials,Banks - Regional
RIME,"Algorhythm Holdings, Inc.",3269490,1994-11-10,,,-8.95%,,,,-15.88%,,,,-29.15%,-36.37%,-42.10%,-39.25%,-56.90%,-273.35%,-3.20%,-11.50%,0.87,0.31,,-2.86,,,-71.10%,,-10.05%,Technology,Consumer Electronics
COF,Capital One Financial Corporation,73412099901,1994-11-15,-16.87%,-4.19%,3.67%,5.20%,,-30.18%,-5.82%,19,23.21%,6.79%,-0.33%,9.57%,20.32%,32.47%,0.80%,3.88%,1.48%,6.25%,,,5.73,,3.86%,,0.18%,5.14%,0.61%,Financials,Credit Services
VECO,Veeco Instruments Inc.,1568781666,1994-11-29,51.20%,,11.85%,2.69%,,20.66%,7.60%,7,11.61%,,0.49%,-5.03%,12.31%,17.70%,6.50%,7.49%,1.38%,6.99%,3.54,2.11,2.47,2.60,1.17%,17.30%,1.14%,-4.24%,9.71%,Technology,Semiconductor Equipment & Materials
CPHC,Canterbury Park Holding Corporation,105160830,1994-12-05,,3.43%,1.15%,,,-4.69%,5.72%,,,,-36.88%,35.04%,11.46%,16.59%,4.30%,5.80%,7.94%,9.60%,2.24,2.27,0.02,3.81,3.34%,,195.66%,,0.13%,Consumer Discretionary,Gambling
STM,STMicroelectronics N.V.,22692139260,1994-12-08,47.57%,14.44%,8.53%,8.51%,4.20%,2.07%,4.58%,7,-57.76%,-26.69%,7.30%,5.35%,16.38%,28.24%,9.20%,10.26%,14.26%,17.17%,2.84,1.91,0.78,3.70,1.59%,14.58%,20.22%,-93.97%,-18.36%,Technology,Semiconductors
CYD,China Yuchai International Limited,377939275,1994-12-15,,-3.32%,31.61%,4.06%,,-26.50%,5.33%,,,3.11%,55.74%,-10.43%,3.31%,3.50%,1.10%,3.37%,1.60%,5.61%,1.59,1.20,4.12,1.61,0.81%,4.75%,25.61%,,12.57%,Consumer Discretionary,Auto Manufacturers
IRS,IRSA Inversiones y Representaciones Sociedad Anónima,1399891684,1994-12-19,-24.02%,,316.92%,,,,468.27%,1,471.73%,388.57%,262.17%,425.26%,-56.15%,-7.25%,-1.20%,-14.04%,9.44%,3.80%,0.83,0.94,,,-12.73%,,-36.24%,-34.58%,-0.96%,Real Estate,Real Estate Services
MIND,"MIND Technology, Inc.",31080738,1994-12-19,,,-2.70%,8.53%,,,16.71%,,,,-8.75%,3.37%,7.95%,16.42%,-0.10%,,-33.58%,-24.82%,2.64,0.93,0.28,-1.19,4.67%,5.13%,-65.14%,,26.61%,Technology,Scientific & Technical Instruments
NSIT,"Insight Enterprises, Inc.",4962796875,1995-01-24,35.83%,14.44%,4.30%,5.53%,,12.32%,-1.09%,4,,25.26%,5.37%,27.24%,5.14%,6.16%,4.40%,12.03%,4.84%,11.82%,1.25,1.35,1.99,2.40,1.12%,,61.49%,-14.12%,-6.11%,Technology,Electronics & Computer Distribution
UPBD,"Upbound Group, Inc.",1883307228,1995-01-25,13.90%,6.09%,9.84%,4.13%,4.15%,-3.47%,1.05%,6,-25.68%,-19.60%,23.65%,-1.48%,6.30%,39.04%,3.10%,6.81%,5.60%,9.95%,,,0.91,,1.63%,,-1.69%,-62.50%,7.43%,Technology,Software - Application
AZTA,"Azenta, Inc.",2304413916,1995-02-01,37.63%,,-3.41%,6.72%,,,8.51%,5,-48.97%,-28.08%,2.83%,-14.71%,-30.58%,-11.67%,-6.70%,-10.98%,13.40%,-4.31%,4.07,3.11,,5.57,-0.48%,5.11%,-2.72%,,-1.32%,Healthcare,Medical Instruments & Supplies
